Result-org,Result-psv,result-a-new,result-opt
101076,130495,42554,40563
102812,127873,42290,41448
101681,130674,41372,41973
100203,129684,44166,42420
103596,126931,43520,43656
100775,128382,42349,42132
104859,127450,44099,42480
104647,127318,44863,42172
102604,130401,44466,41204
104479,126909,43822,41555
100749,132502,43772,41894
104226,129032,44370,42139
104501,126595,43335,42536
102538,127927,44013,42218
105083,130240,45430,43351
101076,129017,43846,41884
102941,127083,42326,42667
103474,128623,44480,42891
102521,128477,43178,43110
102951,128310,43144,43039
83161,128528,27620,26967
82165,128427,28127,26572
82906,127118,27344,27257
79339,127936,27732,25970
81226,128500,29396,29407
80599,127964,28473,27772
81331,128907,28469,28225
83333,127074,27554,27980
83258,129609,28691,27265
83919,129547,28171,27938
79447,126674,27048,26977
82275,129081,28016,27899
80793,129815,28153,28599
80794,125940,27934,27559
82416,126969,28487,27911
82177,125665,28798,27394
79181,128622,29222,28224
81020,125078,28302,26916
82953,131124,29395,27885
80152,127838,26733,27811
64419,124489,23288,19900
65257,126596,22630,20794
64069,128887,22762,20532
61625,126133,22924,20226
64564,125471,23736,21247
63393,122955,22709,20528
64603,127051,23675,21207
63066,130116,22952,20790
66113,127480,22016,19709
65427,127240,23129,21058
64036,126900,23170,20773
66242,127221,23070,20330
63743,126346,23830,20800
63392,126588,24360,20287
66030,128842,23350,20971
66226,127410,22421,19960
65427,126420,22713,20411
64905,127431,23748,20793
64307,128339,23372,20330
65340,128743,22097,21013
52386,127965,17569,15653
52607,128077,16739,16461
51806,124699,17576,15596
50936,130338,17131,16301
50454,126125,18091,15272
51229,128937,17362,15003
50566,125117,17533,16085
51440,125281,17523,15953
51863,126214,16857,15311
52120,126678,17029,15451
53762,128033,17235,15636
52826,126933,18014,15421
51345,124961,17036,14805
52314,128154,17427,15892
51318,125662,17515,15611
54219,125867,17494,16416
52228,125931,16792,16533
54029,126125,17119,16414
52178,127115,17722,15261
50689,127261,17073,15349
41765,125564,13639,12308
40882,127733,13827,12235
