result-o,result-p,result-a
101076,130495,30436
102812,127873,30213
101681,130674,29027
100203,129684,28185
103596,126931,30289
100775,128382,30632
104859,127450,29533
104647,127318,28869
102604,130401,29255
104479,126909,31069
100749,132502,29750
104226,129032,30152
104501,126595,29535
102538,127927,29571
105083,130240,30931
101076,129017,29502
102941,127083,29272
103474,128623,29922
102521,128477,28458
102951,128310,28392
83161,128528,41195
82165,128427,41755
82906,127118,41136
79339,127936,41748
81226,128500,43612
80599,127964,42344
81331,128907,41135
83333,127074,41413
83258,129609,42371
83919,129547,42734
79447,126674,42817
82275,129081,42307
80793,129815,42424
80794,125940,41981
82416,126969,42641
82177,125665,42024
79181,128622,42055
81020,125078,42258
82953,131124,41549
80152,127838,42268
64419,124489,38779
65257,126596,38316
64069,128887,37706
61625,126133,37767
64564,125471,38653
63393,122955,38564
64603,127051,36908
63066,130116,38115
66113,127480,38048
65427,127240,38646
64036,126900,38141
66242,127221,38848
63743,126346,38503
63392,126588,38490
66030,128842,38170
66226,127410,38238
65427,126420,38607
64905,127431,38598
64307,128339,39324
65340,128743,38729
52386,127965,34484
52607,128077,35099
51806,124699,34416
50936,130338,33508
50454,126125,34111
51229,128937,35156
50566,125117,34818
51440,125281,34567
51863,126214,33688
52120,126678,34810
53762,128033,34650
52826,126933,34531
51345,124961,34630
52314,128154,34853
51318,125662,33564
54219,125867,34457
52228,125931,35039
54029,126125,34265
52178,127115,33954
50689,127261,34258
41765,125564,29377
40882,127733,31092
42223,125714,30701
41734,128487,31188
42055,125739,30163
42180,127617,30818
39511,126409,29182
39620,124903,30091
41578,126639,30309
40306,127720,30509
41434,126604,29104
40455,126704,29203
41702,128682,30525
43219,125036,30133
40637,127223,30685
40518,126868,30794
41358,124374,30068
41169,128170,29725
42184,124681,29821
42025,124863,30367
35660,9996,25535
33377,10073,26603
33472,10217,26754
34158,9988,26943
34564,10175,27669
33995,10236,26563
33328,10204,26391
33156,9794,26092
32550,10137,25989
33143,10000,26495
31798,10071,27958
33190,9782,27708
33266,9932,26155
34857,9889,26618
32816,10006,26704
32545,9945,26762
35074,9954,26529
33936,9879,27119
34322,10020,26976
34774,10200,26560
28009,9914,23203
26945,10029,23256
26249,9827,23193
27405,10111,23114
26321,9982,23138
26763,10369,23237
28166,9927,23240
26988,9928,22275
27105,10001,22862
27458,9926,23232
26087,10219,22583
26462,10198,22912
28173,10089,23854
26613,9742,23311
27369,9989,22334
27600,9990,22138
26992,10144,23286
27028,10097,23368
26944,9995,22533
26687,10205,23584
22855,10249,19791
21545,10064,19330
21933,10115,19862
22171,10091,19668
20614,10110,20137
22813,9956,20474
23504,9891,19349
22978,10048,20116
21916,10004,19737
20663,9917,20067
23528,9946,20175
23481,9927,19326
22485,10113,19571
22041,9847,19961
22618,10098,19571
22328,10027,19130
22539,9853,19672
22193,10140,19806
22752,10190,19122
21759,9905,19775
19323,9970,18490
18618,9783,17387
18467,10090,16930
18385,9834,17161
17839,10124,16514
18171,9964,18170
18150,10066,17458
18192,10117,17263
18161,10070,16954
18920,10076,16946
18665,10025,17276
19719,9861,17509
17496,10123,18123
19405,9911,17518
18817,10162,17071
19371,9953,17318
18632,9833,16030
18352,10169,17052
18365,9999,17357
18669,10004,17252
14539,9846,14268
16213,10060,15837
15434,9916,14170
14856,10009,14345
15509,9855,13877
15483,9981,13506
14370,9976,14592
15622,10126,14710
15162,9862,14905
15431,10079,14808
15327,10043,15013
15884,10039,15218
14959,10022,14312
15268,9990,14686
15560,9702,14759
16162,10111,14436
15999,9880,14081
15869,9967,14683
15445,10123,14490
14979,9972,14430
12113,1509,13703
12998,1533,12739
13575,1618,11408
12140,1579,12932
13106,1548,12752
12702,1556,13068
12082,1633,11807
12288,1493,12814
12555,1587,12167
12355,1508,12319
12935,1562,12282
13344,1592,11934
13967,1500,12369
13589,1534,13053
12524,1572,12529
13611,1562,13257
13643,1582,12295
12391,1574,12902
12538,1545,12597
13170,1524,12519
11115,1478,11178
10865,1543,10853
12056,1526,10151
11098,1534,10333
11506,1515,10722
10767,1674,10349
10164,1459,10140
10137,1607,10713
10590,1589,10724
10755,1541,10794
