0.4?,0.6?,0.8?,1.1?,1.2?,1.4?
46650,72518,96110,96211,88342,78707
49564,87764,124103,127098,113016,107717
51642,104705,136481,138023,130377,126731
56163,112646,145087,148522,138974,135067
59017,123790,151505,152062,146092,144061
156146,155930,156464,157086,156983,156864
165794,166795,166953,167019,167682,166211
166292,166854,166801,166883,166070,167227
166888,166695,168115,166491,167331,167398
166998,166991,167204,167280,166955,167286
166964,167142,167318,166952,167238,167600
167307,166313,167566,166879,166977,167311
166430,166928,167696,167482,167240,166632
166360,167343,166416,168158,166581,167414
167219,166025,165780,166832,167775,167558
167114,167087,167280,166873,167573,166704
167909,167311,167533,167261,167324,167119
166814,167047,167104,167511,166944,166837
167401,167829,166755,168196,166288,167913
167511,167708,166950,167661,167939,166722
167721,167634,167325,167023,167362,166715
167417,166711,167185,167071,168589,166881
167605,167471,167532,167370,167145,168075
167611,167536,167316,166984,167014,167320
167536,167453,168282,166873,167211,167172
167316,167458,167630,168455,166890,167443
167727,166196,168356,167913,168276,167033
167855,167697,167745,165911,166683,166735
167696,167635,167508,168568,167910,167148
167184,166345,167002,168203,168519,168630
